MESA,Departamento,Municipio,Circuito,ESTADO
78,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
79,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
80,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
81,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
82,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
83,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
84,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
85,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
86,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
87,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
88,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
89,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
90,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
91,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
92,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
93,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
94,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
95,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
96,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
97,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
98,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
99,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
100,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
101,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
102,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
103,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
104,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
105,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
106,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
107,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
108,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
109,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
110,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
111,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
112,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
113,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
114,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
115,241 -- CAPITAL,1 -- CAPITAL,2A -- CAPITAL,
116 (BUE),241 -- CAPITAL,1 -- CAPITAL,3 -- CAPITAL,
117 (BUE),241 -- CAPITAL,1 -- CAPITAL,3 -- CAPITAL,
118 (BUE),241 -- CAPITAL,1 -- CAPITAL,3 -- CAPITAL,
119 (BUE),241 -- CAPITAL,1 -- CAPITAL,3 -- CAPITAL,
120 (BUE),241 -- CAPITAL,1 -- CAPITAL,3 -- CAPITAL,
121 (BUE),241 -- CAPITAL,1 -- CAPITAL,3 -- CAPITAL,
122 (BUE),241 -- CAPITAL,1 -- CAPITAL,3 -- CAPITAL,
123 (BUE),241 -- CAPITAL,1 -- CAPITAL,3 -- CAPITAL,
