,mesa,Departamento,Municipio,Circuito,bue,1 - Movimiento Integracion y Desarrollo (1) 1.Intendente/Vice,1 - Movimiento Integracion y Desarrollo (1) 2.Concejales,2 - Justicialista (2) 1.Intendente/Vice,2 - Justicialista (2) 2.Concejales,3 - Union Civica Radical (3) 1.Intendente/Vice,3 - Union Civica Radical (3) 2.Concejales,4 - Movimiento Siempre Corrientes (4) 1.Intendente/Vice,4 - Movimiento Siempre Corrientes (4) 2.Concejales,5 - Democrata Cristiano (5) 1.Intendente/Vice,5 - Democrata Cristiano (5) 2.Concejales,6 - Es Posible (6) 1.Intendente/Vice,6 - Es Posible (6) 2.Concejales,7 - de la Concertacion Forja (7) 1.Intendente/Vice,7 - de la Concertacion Forja (7) 2.Concejales,8 - Federal (8) 1.Intendente/Vice,8 - Federal (8) 2.Concejales,9 - Democrata Progresista (9) 1.Intendente/Vice,9 - Democrata Progresista (9) 2.Concejales,10 - Renovador Federal (10) 1.Intendente/Vice,10 - Renovador Federal (10) 2.Concejales,11 - Ladrilleros Unidos (CAPITAL) (11) 1.Intendente/Vice,11 - Ladrilleros Unidos (CAPITAL) (11) 2.Concejales,12 - Accion por Corrientes (14) 1.Intendente/Vice,12 - Accion por Corrientes (14) 2.Concejales,13 - Unidos por Corrientes (15) 1.Intendente/Vice,13 - Unidos por Corrientes (15) 2.Concejales,14 - Laborista Autonomo (17) 1.Intendente/Vice,14 - Laborista Autonomo (17) 2.Concejales,15 - ELI - Encuentro Liberal (18) 1.Intendente/Vice,15 - ELI - Encuentro Liberal (18) 2.Concejales,16 - Cambio Popular (19) 1.Intendente/Vice,16 - Cambio Popular (19) 2.Concejales,17 - Union del Centro Democratico (20) 1.Intendente/Vice,17 - Union del Centro Democratico (20) 2.Concejales,18 - Convocatoria Popular (21) 1.Intendente/Vice,18 - Convocatoria Popular (21) 2.Concejales,19 - FE (23) 1.Intendente/Vice,19 - FE (23) 2.Concejales,20 - Union Popular (25) 1.Intendente/Vice,20 - Union Popular (25) 2.Concejales,21 - Conservador Popular (31) 1.Intendente/Vice,21 - Conservador Popular (31) 2.Concejales,22 - Accion Popular de los Trabajadores (34) 1.Intendente/Vice,22 - Accion Popular de los Trabajadores (34) 2.Concejales,23 - Accion por la Republica (44) 1.Intendente/Vice,23 - Accion por la Republica (44) 2.Concejales,24 - Afirmacion para una Republica Igualitaria ARI  (47) 1.Intendente/Vice,24 - Afirmacion para una Republica Igualitaria ARI  (47) 2.Concejales,25 - Partido Socialista (50) 1.Intendente/Vice,25 - Partido Socialista (50) 2.Concejales,26 - Autonomista (52) 1.Intendente/Vice,26 - Autonomista (52) 2.Concejales,27 - de la Victoria (54) 1.Intendente/Vice,27 - de la Victoria (54) 2.Concejales,28 - Proyecto Corrientes (57) 1.Intendente/Vice,28 - Proyecto Corrientes (57) 2.Concejales,29 - PRO - Propuesta Republicana (64) 1.Intendente/Vice,29 - PRO - Propuesta Republicana (64) 2.Concejales,30 - Nueva Dirigencia Corrientes (67) 1.Intendente/Vice,30 - Nueva Dirigencia Corrientes (67) 2.Concejales,31 - Instrumento Electoral por la Unidad Popular (72) 1.Intendente/Vice,31 - Instrumento Electoral por la Unidad Popular (72) 2.Concejales,32 - Nuevo (90) 1.Intendente/Vice,32 - Nuevo (90) 2.Concejales,33 - Popular (169) 1.Intendente/Vice,33 - Popular (169) 2.Concejales,34 - Crecer con Todos (170) 1.Intendente/Vice,34 - Crecer con Todos (170) 2.Concejales,35 - Union Celeste y Blanco (173) 1.Intendente/Vice,35 - Union Celeste y Blanco (173) 2.Concejales,36 - Compromiso Correntino (175) 1.Intendente/Vice,36 - Compromiso Correntino (175) 2.Concejales,37 - KOLINA (192) 1.Intendente/Vice,37 - KOLINA (192) 2.Concejales,VOTOS en Blanco 1.Intendente/Vice,VOTOS en Blanco 2.Concejales,VOTOS Nulos 1.Intendente/Vice,VOTOS Nulos 2.Concejales,VOTOS  Recurridos 1.Intendente/Vice,VOTOS  Recurridos 2.Concejales,VOTOS de Identidad Impugnada 1.Intendente/Vice,VOTOS de Identidad Impugnada 2.Concejales,Total Votos Válidos 1.Intendente/Vice,Total Votos Válidos 2.Concejales,Votos Generales 1.Intendente/Vice,Votos Generales 2.Concejales,Frente Para la Victoria (201) 1.Alianzas Intendente/Vice,Encuentro por Corrientes-ECO+Cambiemos (203) 1.Alianzas Intendente/Vice,Haciendo Corrientes (205) 1.Alianzas Intendente/Vice,Ciudadanos Comprometidos (200) 2.Alianzas Concejales,Frente Para la Victoria (201) 2.Alianzas Concejales,Encuentro por Corrientes-ECO+Cambiemos (204) 2.Alianzas Concejales,Haciendo Corrientes (205) 2.Alianzas Concejales,voto_cruzado,voto_cruzado_revisado
157,158,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,20,18,33,30,50,48,10,9,12,12,3,3,3,3,2,2,3,3,9,9,3,3,7,9,3,4,2,3,8,8,2,2,1,1,2,2,1,1,5,5,2,/////,4,4,3,3,3,3,0,1,7,7,5,4,0,0,2,1,2,2,0,0,9,10,9,9,2,2,3,3,1,2,7,7,3,5,4,4,1,1,0,/////,238,233,246,243,9,120,109,10,9,85,103,9.5,3.5
158,159,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,8,8,38,37,28,26,2,2,12,11,1,1,14,13,0,0,1,1,9,9,0,0,9,10,6,6,1,1,9,9,1,1,0,0,7,8,2,2,1,1,3,/////,6,6,5,5,7,7,0,4,1,1,4,4,2,3,3,2,4,4,0,21,12,12,11,11,9,9,1,1,0,1,2,2,8,13,6,0,0,27,0,/////,219,239,233,279,9,101,109,9,10,70,106,19.0,13.0
159,160,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,9,8,34,33,41,35,9,10,9,8,2,2,4,4,7,8,1,2,1,6,15,14,2,3,5,5,1,2,11,10,2,2,3,3,0,0,2,2,6,6,1,/////,8,7,10,10,3,3,0,2,3,5,4,3,2,4,4,4,2,3,0,1,16,15,6,6,2,2,6,4,3,4,7,7,4,4,6,6,2,2,0,/////,241,243,253,255,7,126,108,15,7,79,108,18.0,1.0
160,161,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,6,6,43,42,53,35,25,22,5,5,0,1,7,7,1,1,2,2,3,2,3,3,5,5,1,1,2,2,12,11,0,0,5,5,10,10,4,4,4,4,0,/////,2,3,7,6,5,5,0,2,2,2,3,3,0,0,5,6,1,1,0,13,6,5,7,7,3,3,10,10,0,0,7,6,3,9,6,9,0,0,0,/////,249,240,258,258,17,123,109,11,16,78,103,22.5,4.5
161,162,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,11,11,29,29,26,23,11,10,1,2,4,4,5,5,0,0,4,3,5,5,10,9,2,2,5,5,2,2,12,12,3,3,17,17,2,1,3,3,10,9,7,/////,3,3,1,1,6,6,0,5,3,4,1,1,4,3,9,8,6,6,0,11,4,4,8,9,6,6,6,6,2,2,3,2,7,7,7,7,0,0,0,/////,231,232,245,246,5,123,103,15,3,82,102,18.5,3.5
162,163,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,12,11,23,21,33,27,2,2,1,1,1,1,1,1,1,1,1,1,7,7,3,1,2,2,1,2,2,4,8,9,4,4,9,9,6,0,3,3,1,1,2,/////,2,2,1,1,3,4,0,2,4,5,12,12,1,1,4,4,7,7,0,1,6,7,10,10,25,25,14,12,2,2,11,1,7,14,11,15,0,0,0,/////,225,204,243,233,17,103,105,6,1,81,101,20.5,10.5
163,164,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,20,19,32,32,49,44,4,4,3,3,2,2,5,5,4,4,0,0,7,7,5,4,11,11,1,1,2,2,13,12,3,3,3,3,3,3,4,3,3,3,2,/////,3,3,7,7,8,8,0,0,5,5,17,16,0,0,2,2,1,1,0,0,10,10,5,5,1,1,1,0,2,2,3,4,5,5,27,27,0,0,0,/////,241,229,273,261,6,125,110,9,7,78,107,7.0,7.0
164,165,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,5,5,28,26,36,34,12,12,7,7,1,1,6,6,3,3,3,3,5,5,6,5,2,2,4,4,1,1,10,9,4,4,5,5,0,1,3,1,9,10,0,/////,0,0,4,3,3,3,0,0,5,5,9,9,3,3,5,6,1,1,0,0,7,7,11,11,7,7,8,8,4,4,3,3,5,9,8,8,3,4,0,/////,220,214,236,235,3,116,101,11,4,84,98,6.0,4.0
165,166,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,0,0,33,30,63,52,5,5,6,5,0,1,10,8,2,3,7,7,7,7,12,11,8,8,7,7,1,2,18,17,3,4,4,2,2,3,3,3,3,2,0,/////,4,4,2,2,6,6,0,11,5,6,10,9,0,0,5,5,0,0,0,0,5,3,0,0,3,3,7,7,1,1,8,11,3,3,6,6,0,0,0,/////,250,245,259,254,10,142,98,9,14,100,87,22.5,8.5
166,167,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,19,17,5,4,60,60,3,3,0,0,5,5,10,10,0,0,8,7,6,3,10,8,6,6,2,2,3,3,7,7,1,1,1,1,5,5,9,10,4,4,0,/////,0,0,5,6,4,5,0,0,7,7,6,4,0,0,4,4,1,2,0,0,6,6,10,12,8,6,3,4,3,3,1,2,2,2,14,14,0,0,0,/////,222,217,238,233,6,141,75,14,7,103,63,10.5,9.5
167,168,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,8,8,33,31,48,47,7,7,7,7,7,7,7,7,8,8,4,3,18,18,2,1,4,5,1,1,2,2,6,6,0,0,5,5,3,3,9,9,8,8,2,/////,1,1,3,3,4,4,0,0,2,2,4,4,0,0,3,3,0,0,0,0,3,3,8,8,3,3,3,3,1,1,3,6,3,5,7,8,3,3,0,/////,227,224,240,240,6,124,97,18,9,74,94,5.5,4.5
168,169,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,11,11,18,18,39,38,1,1,11,11,7,7,5,5,8,8,4,4,4,3,9,8,4,4,3,3,6,6,13,14,2,2,4,3,0,0,3,4,7,7,2,/////,3,3,9,9,10,13,0,1,5,5,8,8,0,1,4,3,3,3,0,0,7,6,5,6,9,9,4,4,1,1,6,5,6,9,16,14,1,1,0,/////,235,234,258,258,6,140,89,14,5,90,85,8.5,4.5
169,170,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,10,9,28,26,44,40,13,10,2,2,1,1,3,3,3,2,0,0,2,2,12,12,0,0,1,1,4,5,14,13,5,5,3,3,5,5,2,3,0,1,2,/////,8,7,2,2,6,6,0,1,10,11,5,5,3,3,6,6,2,2,0,5,1,1,10,10,22,21,1,1,1,1,3,5,3,9,12,12,5,5,0,/////,234,230,254,256,8,120,106,11,10,93,99,14.0,5.0
170,171,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,9,5,31,31,44,41,9,9,18,17,5,4,15,14,5,5,10,10,4,4,12,12,3,3,2,2,1,1,5,5,1,1,4,4,2,2,7,9,7,8,0,/////,1,1,1,1,8,8,0,0,5,5,4,4,3,3,3,3,2,2,0,1,5,5,5,6,2,1,0,0,0,0,3,3,1,5,2,2,10,10,0,/////,236,230,249,247,5,117,114,18,5,75,107,8.0,4.0
171,172,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,4,3,31,30,32,32,32,31,4,4,10,10,8,8,7,7,0,0,11,11,1,1,8,9,3,3,4,4,6,6,7,7,3,2,4,4,3,4,9,9,1,/////,3,3,2,2,5,5,0,0,3,3,1,1,1,1,5,5,0,0,0,0,7,7,10,10,4,4,3,3,0,0,5,4,3,8,9,9,6,6,0,/////,237,233,255,256,9,115,113,16,8,68,109,4.0,3.0
172,173,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,7,7,29,29,26,25,19,18,21,21,5,5,7,6,2,2,3,3,3,3,20,19,11,12,1,2,5,5,5,4,4,4,3,2,0,1,3,3,5,5,1,/////,3,3,4,5,7,7,0,4,3,2,5,5,0,0,2,2,5,5,0,3,7,6,9,9,4,4,4,4,1,1,4,4,9,8,6,6,3,3,0,/////,238,240,256,257,4,105,129,11,5,60,124,10.0,6.0
173,174,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,8,8,34,36,27,25,15,12,8,7,6,6,5,5,9,9,3,2,8,7,18,18,1,1,1,1,3,4,11,12,2,1,1,1,4,4,6,7,5,5,2,/////,1,1,2,2,4,4,0,0,3,3,5,5,1,1,6,6,1,1,0,0,9,8,6,6,6,6,4,4,0,0,7,7,1,13,15,13,4,4,0,/////,232,225,252,255,11,102,119,13,11,63,114,8.5,3.5
174,175,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,4,4,31,31,23,17,4,4,6,6,9,8,9,9,11,11,3,3,4,4,22,19,4,5,7,7,4,4,15,14,3,2,5,4,3,4,1,1,2,2,1,/////,3,3,5,5,3,5,0,4,2,2,6,6,1,1,0,0,2,2,0,1,10,9,9,9,18,17,0,0,4,4,6,7,3,3,15,14,0,0,0,/////,240,234,258,251,9,109,122,6,11,57,115,13.0,5.0
175,176,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,3,3,20,19,24,22,5,4,11,10,3,3,4,4,1,1,0,0,14,12,6,5,4,3,4,4,3,3,8,7,3,2,8,8,3,3,3,3,7,7,2,/////,6,6,2,3,6,6,0,0,2,4,9,8,2,2,5,5,4,4,0,0,16,16,12,12,19,18,18,19,5,5,4,4,1,2,3,3,0,0,0,/////,246,235,250,240,7,121,118,16,7,85,109,9.5,5.5
176,177,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,11,11,33,32,54,51,8,7,18,18,9,9,4,4,2,2,3,4,5,4,8,7,8,9,2,2,0,1,8,8,3,3,2,2,3,4,6,6,4,4,1,/////,1,1,4,5,3,3,0,0,1,1,11,10,4,4,2,1,1,1,0,1,9,9,8,9,5,4,3,3,0,0,7,8,4,9,9,10,0,0,0,/////,251,248,264,267,10,124,117,11,12,83,111,9.5,4.5
177,178,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,5,5,34,33,52,49,30,30,21,19,2,2,7,6,4,4,3,3,7,6,5,5,2,2,3,3,2,3,6,6,2,2,4,3,5,4,3,3,2,3,2,/////,7,8,5,4,3,3,0,0,5,5,15,14,8,8,2,2,0,0,0,0,5,5,7,7,7,7,3,3,0,0,0,0,3,3,8,12,5,5,0,/////,268,257,284,277,5,121,142,14,4,86,135,8.5,5.5
178,179,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,4,4,25,24,18,13,14,13,16,16,3,3,4,4,0,0,0,1,6,6,5,5,3,3,3,3,0,0,5,5,5,5,3,3,8,10,4,4,5,4,0,/////,7,7,5,5,1,1,0,0,5,5,4,4,4,4,1,1,0,0,0,5,14,13,15,15,25,25,27,25,21,21,0,0,6,10,9,8,7,7,0,/////,260,257,282,282,8,127,125,15,10,72,122,9.5,3.5
179,180,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,11,10,33,33,37,22,9,9,8,8,1,1,12,12,1,2,1,1,9,9,6,5,1,1,4,4,1,1,3,3,5,5,9,9,2,2,2,2,4,4,0,/////,7,7,7,7,5,5,0,1,3,4,10,10,0,0,1,1,2,1,0,15,3,3,9,9,12,11,20,20,1,2,7,7,5,0,13,0,3,0,0,/////,246,246,267,246,9,110,127,13,9,69,124,19.0,3.0
180,181,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,6,6,45,43,36,32,15,15,1,1,11,11,4,3,12,11,3,5,6,5,4,4,9,10,3,3,1,1,12,12,4,3,4,4,6,7,2,2,2,2,2,/////,2,2,8,1,3,3,0,1,7,6,3,3,2,2,4,5,0,0,0,1,3,3,10,10,3,4,4,4,3,4,1,1,6,4,8,8,0,0,0,/////,241,230,255,242,7,136,98,6,8,77,94,14.5,6.5
181,182,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,4,3,23,22,39,27,14,14,2,2,3,3,6,6,0,0,2,3,7,8,2,1,5,6,1,1,2,2,4,3,5,5,7,6,7,7,5,5,7,7,2,/////,2,2,6,7,7,6,0,3,18,18,10,10,1,1,6,6,3,3,0,5,7,7,7,6,7,7,8,8,3,3,0,0,3,3,9,9,1,0,0,/////,232,223,245,235,7,131,94,14,7,79,91,16.5,4.5
182,183,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,2,2,32,31,33,28,14,12,3,3,6,6,11,10,6,6,2,1,13,13,14,12,6,6,3,4,1,1,9,10,4,4,6,6,7,6,10,10,6,5,1,/////,1,1,1,1,1,1,0,5,4,6,3,2,1,1,5,5,0,0,0,0,9,10,5,7,7,7,13,13,1,1,6,6,4,4,7,7,0,0,0,/////,246,242,257,253,13,115,118,16,12,75,112,14.0,5.0
183,184,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,4,4,28,25,27,11,6,6,8,8,1,1,11,9,0,0,1,1,6,5,14,13,4,5,3,3,7,9,10,9,5,4,8,8,3,4,4,4,7,7,2,/////,5,6,2,1,3,3,0,9,3,3,10,8,5,5,5,3,1,1,0,4,3,4,7,6,9,9,2,3,0,2,6,6,7,16,11,11,0,0,0,/////,220,209,238,236,9,99,112,17,10,47,103,27.5,6.5
184,185,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,12,10,36,33,35,32,14,12,12,12,2,2,5,5,7,9,4,4,4,2,9,8,2,2,7,7,4,2,14,13,2,2,1,1,3,3,6,6,6,6,0,/////,5,4,3,3,6,5,0,1,1,1,8,6,0,0,5,6,0,0,0,2,7,8,10,8,7,7,5,5,2,2,1,2,5,5,8,8,1,0,0,/////,245,231,259,244,4,124,117,16,5,77,106,15.0,8.0
185,186,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,22,20,16,16,46,42,5,5,11,8,4,4,14,14,3,3,3,4,2,2,4,4,7,6,11,11,3,3,16,17,2,2,7,6,3,3,8,8,9,9,3,/////,1,2,6,6,1,1,0,2,3,4,2,2,5,5,3,2,0,0,0,2,4,5,3,3,3,3,4,4,2,2,4,5,3,3,12,15,0,0,0,/////,240,235,255,253,7,141,92,19,8,89,87,12.5,3.5
186,187,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,19,19,33,32,30,22,12,12,7,6,2,2,6,6,4,4,3,3,5,7,3,3,6,6,0,0,1,1,15,14,4,4,1,1,4,3,1,2,5,8,6,/////,3,3,3,3,3,4,0,1,5,4,2,2,13,13,6,6,1,1,0,4,14,15,9,9,3,3,2,3,4,3,5,4,3,3,7,7,0,0,0,/////,240,233,250,243,9,122,109,13,7,76,110,17.5,4.5
187,188,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,10,9,35,31,43,36,6,6,11,10,7,6,11,11,7,7,6,5,5,4,6,5,7,7,10,10,2,1,11,10,11,3,6,6,7,7,3,3,3,4,2,/////,3,5,3,4,3,3,0,2,15,15,5,3,3,3,2,2,1,1,0,2,4,4,2,3,6,5,1,1,4,4,4,5,5,13,2,3,0,0,0,/////,265,243,272,259,11,138,116,12,12,84,97,21.0,12.0
188,189,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,4,4,39,38,24,27,3,3,17,15,13,12,5,5,4,5,6,6,15,15,7,6,0,1,1,1,0,0,14,14,2,1,5,6,4,4,7,8,4,4,0,/////,6,6,2,1,2,2,0,3,9,9,9,9,0,0,0,1,2,2,0,7,7,7,8,7,12,11,2,2,2,2,3,3,16,7,12,12,0,0,0,/////,238,247,266,266,7,106,125,18,7,65,120,13.5,9.5
189,190,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,9,5,34,33,28,20,7,7,0,0,0,0,12,11,3,2,0,2,3,1,9,7,4,4,1,1,7,8,0,22,4,4,7,7,8,8,3,3,4,6,10,/////,4,5,4,4,7,7,0,5,9,10,0,0,7,6,14,13,6,6,0,3,9,8,13,13,9,8,4,4,2,2,5,5,2,2,10,10,0,0,0,/////,246,250,258,262,13,130,103,14,13,102,91,35.0,14.0
190,191,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,10,8,36,35,31,27,8,7,3,3,11,10,6,6,4,5,1,1,13,12,4,3,2,2,3,3,1,1,11,13,1,1,9,9,6,5,11,12,6,6,4,/////,2,2,4,4,4,4,0,1,6,10,8,8,5,5,13,12,0,0,0,2,6,6,5,5,15,15,2,1,4,4,6,5,3,0,5,0,1,0,0,/////,261,253,270,253,12,130,119,20,10,80,113,15.0,4.0
191,192,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,2,2,34,29,59,54,2,2,4,4,15,15,10,10,4,4,3,3,9,8,22,23,2,2,6,6,1,2,17,18,2,2,8,8,2,2,1,1,4,4,2,/////,3,4,2,3,1,2,0,1,7,7,0,0,1,1,1,1,3,3,0,3,3,4,4,4,12,11,1,1,0,0,2,2,2,2,10,10,0,0,0,/////,249,246,261,258,4,137,108,9,4,97,103,12.5,3.5
192,193,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,5,5,39,37,25,21,14,14,0,0,0,0,4,4,0,0,2,3,13,13,15,13,4,4,7,7,10,9,7,8,3,4,4,4,7,6,6,6,6,6,1,/////,5,5,6,6,9,9,0,3,3,4,7,7,4,4,8,8,1,1,0,1,3,2,10,10,6,5,5,4,2,2,3,3,5,5,9,9,0,0,0,/////,244,238,258,252,10,121,113,17,9,76,108,11.0,3.0
193,194,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,5,5,31,29,49,44,20,16,3,2,2,2,10,10,8,8,3,6,6,6,6,5,5,5,8,7,0,0,6,6,1,2,2,2,7,10,2,2,6,5,0,/////,3,4,7,8,5,5,0,0,1,2,7,7,4,4,3,3,3,3,0,3,2,2,5,5,1,1,2,2,4,4,6,7,4,5,9,9,0,0,0,/////,233,232,246,246,13,126,94,11,17,81,87,14.5,6.5
194,195,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,14,13,30,27,52,47,5,4,7,7,2,2,7,6,2,2,1,1,3,5,5,5,4,4,2,2,2,2,12,12,3,3,7,7,6,6,3,3,2,2,1,/////,1,1,0,1,4,4,0,4,11,12,3,2,3,4,3,3,1,1,0,17,4,4,4,4,5,4,4,4,2,2,5,5,0,0,5,0,2,0,1,/////,220,232,228,233,11,116,93,6,11,93,87,20.0,12.0
195,196,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,6,6,33,32,22,18,6,6,1,1,1,1,21,19,14,14,5,3,18,18,19,17,6,7,1,1,3,4,3,3,4,3,3,3,4,6,4,4,3,3,2,/////,17,17,5,5,8,8,0,3,3,3,3,3,1,1,1,1,0,0,0,0,3,3,8,8,4,4,6,6,0,0,9,9,0,0,0,0,1,0,0,/////,247,240,248,240,13,113,121,24,15,49,115,10.5,5.5
196,197,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,1,1,26,26,40,25,23,23,11,11,5,5,20,20,2,2,1,1,5,5,3,3,2,2,4,4,1,1,4,5,3,1,7,6,7,8,5,6,6,6,1,/////,1,1,3,3,0,0,0,13,4,4,12,10,3,3,6,7,6,6,0,1,11,10,6,6,7,5,1,1,3,3,6,6,3,0,9,0,0,0,0,/////,246,240,258,240,13,104,129,13,14,61,121,21.0,5.0
197,198,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,11,11,34,34,49,37,7,7,21,18,0,0,20,21,4,4,9,10,1,1,1,1,8,8,1,1,1,1,4,4,1,1,3,2,3,3,6,6,3,3,3,/////,2,2,5,5,4,4,0,10,3,5,5,5,0,0,7,7,3,3,0,0,5,6,5,5,6,7,0,1,0,0,13,14,1,9,13,11,0,0,0,/////,248,247,262,267,16,117,115,11,17,67,114,18.5,1.5
198,199,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,8,8,42,42,34,30,12,12,3,3,8,7,8,8,1,2,5,5,8,8,6,6,2,2,5,5,3,3,7,7,3,3,14,12,9,9,1,1,3,3,0,/////,4,4,2,2,6,6,0,1,9,10,7,7,1,1,7,7,4,4,0,2,3,2,5,5,9,9,12,12,1,2,5,5,9,11,9,9,3,0,0,/////,257,255,278,275,14,120,123,8,14,87,120,7.0,2.0
199,200,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,9,9,41,40,43,41,2,2,2,2,3,3,13,13,3,3,6,8,2,3,8,7,6,7,5,5,4,4,7,6,2,2,13,12,4,3,5,6,5,6,0,/////,5,5,5,5,4,4,0,2,3,5,8,8,1,1,5,5,2,2,0,1,6,6,6,5,6,5,2,1,1,1,5,5,4,4,10,10,0,0,0,/////,242,243,256,257,9,121,112,17,8,75,109,10.5,4.5
200,201,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,4,4,24,24,36,24,6,6,5,5,2,2,8,8,3,4,3,3,11,11,3,3,4,4,6,5,3,4,8,8,4,3,4,3,1,2,7,7,7,7,7,/////,2,2,2,3,2,2,0,4,3,3,2,2,4,4,6,6,1,2,0,5,11,13,3,3,22,21,17,16,0,0,2,2,5,12,14,14,0,0,0,/////,233,225,252,251,3,126,104,16,4,73,103,20.0,5.0
201,202,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,5,5,20,19,29,27,5,4,2,2,1,1,6,6,2,2,1,1,5,7,5,4,2,2,1,1,3,3,13,13,5,5,0,0,2,1,3,2,9,9,0,/////,9,9,12,11,16,16,0,5,5,5,15,15,2,2,11,11,2,2,0,1,7,7,7,7,16,15,14,13,3,3,3,6,4,0,4,0,1,0,3,/////,241,242,253,245,5,145,91,20,7,97,89,10.5,2.5
202,203,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,6,5,22,21,42,29,7,6,3,3,0,0,9,9,4,4,0,1,4,4,3,3,3,4,2,2,3,2,15,15,1,1,3,2,1,2,4,6,6,8,2,/////,5,5,1,1,7,5,0,7,1,1,5,4,6,6,10,10,3,2,0,3,9,9,12,13,12,12,9,8,9,9,8,8,2,10,5,4,0,0,0,/////,237,230,244,244,9,144,84,19,10,91,79,21.5,4.5
203,204,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,3,3,18,19,49,46,22,21,25,23,10,9,22,22,4,3,0,0,8,7,3,3,6,6,4,3,1,1,15,15,0,0,3,3,5,5,3,5,4,4,2,/////,8,8,3,3,2,4,0,0,5,6,4,3,2,2,7,7,4,4,0,0,2,2,9,9,3,3,0,0,2,2,2,2,4,4,11,11,0,0,0,/////,260,253,275,268,7,140,113,17,7,96,109,9.5,3.5
204,205,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,5,4,23,19,38,28,16,15,5,4,4,4,9,10,6,6,4,4,11,11,17,13,2,2,2,2,0,1,10,9,3,3,4,4,5,5,4,7,2,1,3,/////,5,4,6,6,4,4,0,0,4,3,2,2,1,1,8,8,1,1,0,6,6,5,6,7,10,10,8,8,12,12,2,3,2,0,7,0,0,0,0,/////,248,232,257,232,7,130,111,12,8,71,100,21.0,9.0
205,206,241 -- CAPITAL,1 -- CAPITAL,5 -- CAPITAL,0,6,6,29,29,36,35,16,17,2,2,0,0,4,4,0,0,2,2,7,7,2,2,5,3,5,4,2,3,2,2,7,6,16,16,3,3,4,4,3,3,0,/////,3,3,3,4,7,7,0,1,5,5,5,5,0,0,3,3,6,6,0,0,14,14,3,3,21,20,17,17,20,18,11,12,2,1,4,6,0,0,0,/////,269,266,275,273,14,126,129,10,15,82,128,6.5,2.5
