"",,Municipio,AVIA TERAI,,,,
Ciruito,,,Masc.,,Fem.,,Total
"",110,,85,,60,,145
"",112,,3041,,2893,,5934
Total,AVIA TERAI,,3126,,2953,,6079
"",,Municipio,BARRANQUERAS,,,,
Ciruito,,,Masc.,,Fem.,,Total
"",9,,4549,,4818,,9367
"",10,,4731,,5020,,9751
"",11 A,,4114,,4443,,8557
"",11 B,,8500,,9324,,17824
Total,BARRANQUERAS,,21894,,23605,,45499
"",,Municipio,BASAIL,,,,
Ciruito,,,Masc.,,Fem.,,Total
"",26,,2637,,2084,,4721
Total,BASAIL,,2637,,2084,,4721
"",,Municipio,CAMPO LARGO,,,,
Ciruito,,,Masc.,,Fem.,,Total
"",113,,4427,,4294,,8721
"",114,,189,,117,,306
Total,CAMPO LARGO,,4616,,4411,,9027
"",,Municipio,CAPITAN SOLARI,,,,
Ciruito,,,Masc.,,Fem.,,Total
"",42,,1032,,947,,1979
Total,CAPITAN SOLARI,,1032,,947,,1979
"",,Municipio,CHARADAI,,,,
Ciruito,,,Masc.,,Fem.,,Total
"",69,,123,,92,,215
"",70,,696,,650,,1346
"",71,,57,,54,,111
"",72,,31,,17,,48
Total,CHARADAI,,907,,813,,1720
"",,Municipio,CHARATA,,,,
Ciruito,,,Masc.,,Fem.,,Total
"",119,,12538,,13031,,25569
"",120,,491,,414,,905
Total,CHARATA,,13029,,13445,,26474
"",,Municipio,CHOROTIS,,,,
Ciruito,,,Masc.,,Fem.,,Total
"",129,,980,,787,,1767
Total,CHOROTIS,,980,,787,,1767
"",,Municipio,CIERVO PETISO,,,
Ciruito,,,Masc.,Fem.,,Total
"",67,,541,,432,973
Total,CIERVO PETISO,,541,,432,973
"",,Municipio,COLONIA BENITEZ,,,
Ciruito,,,Masc.,Fem.,,Total
"",28,,1809,,1609,3418
"",28 A,,420,,391,811
Total,COLONIA BENITEZ,,2229,,2000,4229
"",,Municipio,COLONIA ELISA,,,
Ciruito,,,Masc.,Fem.,,Total
"",41,,2212,,2044,4256
Total,COLONIA ELISA,,2212,,2044,4256
"",,Municipio,COLONIA POPULAR,,,
Ciruito,,,Masc.,Fem.,,Total
"",33,,471,,378,849
Total,COLONIA POPULAR,,471,,378,849
"",,Municipio,COLONIAS UNIDAS,,,
Ciruito,,,Masc.,Fem.,,Total
"",43,,1844,,1744,3588
Total,COLONIAS UNIDAS,,1844,,1744,3588
"",,Municipio,CONCEP.DEL BERMEJO,,,
Ciruito,,,Masc.,Fem.,,Total
"",130,,2689,,2525,5214
Total,CONCEP.DEL BERMEJO,,2689,,2525,5214
"",,Municipio,CORONEL DU GRATY,,,
Ciruito,,,Masc.,Fem.,,Total
"",80,,4611,,4398,9009
Total,CORONEL DU GRATY,,4611,,4398,9009
"",,Municipio,CORZUELA,,,
Ciruito,,,Masc.,Fem.,,Total
"",115,,5045,,4833,9878
"",116,,1,,1,2
Total,CORZUELA,,5046,,4834,9880
"",,Municipio,COTE LAI,,,
Ciruito,,,Masc.,Fem.,,Total
"",36,,4,,3,7
"",68,,707,,644,1351
Total,COTE LAI,,711,,647,1358
"",,Municipio,EL ESPINILLO,,,,
Ciruito,,,Masc.,,Fem.,,Total
"",139,,1738,,1527,,3265
Total,EL ESPINILLO,,1738,,1527,,3265
"",,Municipio,EL SAUZALITO,,,,
Ciruito,,,Masc.,,Fem.,,Total
"",134 B,,2635,,2262,,4897
"",134 C,,615,,483,,1098
Total,EL SAUZALITO,,3250,,2745,,5995
"",,Municipio,ENRIQUE URIEN,,,,
Ciruito,,,Masc.,,Fem.,,Total
"",76,,679,,496,,1175
Total,ENRIQUE URIEN,,679,,496,,1175
"",,Municipio,FONTANA,,,,
Ciruito,,,Masc.,,Fem.,,Total
"",22 A,,4034,,4043,,8077
"",22 B,,5000,,5136,,10136
"",23,,4955,,5079,,10034
Total,FONTANA,,13989,,14258,,28247
"",,Municipio,FUERTE ESPERANZA,,,,
Ciruito,,,Masc.,,Fem.,,Total
"",134 A,,752,,622,,1374
"",135 A,,1399,,1137,,2536
Total,FUERTE ESPERANZA,,2151,,1759,,3910
"",,Municipio,G. J. DE SAN MARTIN,,,,
Ciruito,,,Masc.,,Fem.,,Total
"",61,,919,,745,,1664
"",62,,12310,,12871,,25181
"",63,,418,,330,,748
Total,G. J. DE SAN MARTIN,,13647,,13946,,27593
"",,Municipio,GANCEDO,,,,
Ciruito,,,Masc.,,Fem.,,Total
"",125,,2290,,1955,,4245
Total,GANCEDO,,2290,,1955,,4245
"",,Municipio,GENERAL CAPDEVILA,,,,
Ciruito,,,Masc.,,Fem.,,Total
"",124,,423,,362,,785
Total,GENERAL CAPDEVILA,,423,,362,,785
"",,Municipio,GENERAL PINEDO,,,,
Ciruito,,,Masc.,,Fem.,,Total
"",121,,599,,439,1038
"",122,,6429,,6245,12674
"",123,,530,,421,951
Total,GENERAL PINEDO,,7558,,7105,14663
"",,Municipio,GENERAL VEDIA,,,
Ciruito,,,Masc.,Fem.,,Total
"",54,,1674,,1488,3162
"",56,,9,,6,15
Total,GENERAL VEDIA,,1683,,1494,3177
"",,Municipio,HERMOSO CAMPO,,,
Ciruito,,,Masc.,Fem.,,Total
"",126,,2887,,2822,5709
"",127,,140,,88,228
Total,HERMOSO CAMPO,,3027,,2910,5937
"",,Municipio,ISLA DEL CERRITO,,,
Ciruito,,,Masc.,Fem.,,Total
"",49,,935,,783,1718
Total,ISLA DEL CERRITO,,935,,783,1718
"",,Municipio,JUAN JOSE CASTELLI,,,
Ciruito,,,Masc.,Fem.,,Total
"",136,,13369,,13579,26948
"",137,,742,,647,1389
"",138 A,,319,,276,595
Total,JUAN JOSE CASTELLI,,14430,14502,,28932
"",,Municipio,LA CLOTILDE,,,
Ciruito,,,Masc.,Fem.,,Total
