mesa,circuito,municipio,municipio_nombre,femenina,electronica,cargada,G33,G41,G60,G71,G179,G180,G191,G652,G653,G654,blanco,nulos,recur,impug,validos,totales
1477,18,1,RESISTENCIA,1,0,1,3,7,2,20,4,1,2,93,66,10,2,3,0,0,208,213
1478,18,1,RESISTENCIA,1,0,1,3,2,1,24,1,0,2,82,70,11,2,5,0,0,196,203
1479,18,1,RESISTENCIA,1,0,1,1,12,1,24,3,1,2,77,70,8,4,3,0,0,199,206
1480,18,1,RESISTENCIA,1,0,1,3,7,2,12,1,2,4,93,68,6,0,4,0,0,198,202
1481,18,1,RESISTENCIA,1,0,1,2,9,2,18,5,4,3,93,59,4,3,4,0,0,199,206
1482,18,1,RESISTENCIA,1,0,1,2,8,4,20,0,3,3,79,69,6,4,2,0,0,194,200
1483,18,1,RESISTENCIA,1,0,1,1,7,2,27,7,4,7,79,53,11,3,6,0,0,198,207
1484,18,1,RESISTENCIA,1,0,1,4,2,2,24,3,2,4,76,52,5,3,1,0,0,174,178
1485,18,1,RESISTENCIA,1,0,1,1,7,1,17,0,0,7,87,59,10,2,5,0,0,189,196
1486,18,1,RESISTENCIA,1,0,1,4,9,1,13,4,1,3,97,61,8,2,6,0,0,201,209
1487,18,1,RESISTENCIA,1,0,1,1,9,4,27,8,1,8,58,69,4,2,4,0,0,189,195
1488,18,1,RESISTENCIA,1,0,1,3,6,1,18,7,1,3,88,73,7,3,2,0,0,207,212
1489,18,1,RESISTENCIA,1,0,1,5,6,2,23,2,1,4,86,75,6,1,4,0,0,210,215
1490,18,1,RESISTENCIA,1,0,1,3,6,3,31,3,1,3,83,62,9,3,3,0,1,204,211
1491,18,1,RESISTENCIA,1,0,1,7,8,0,25,6,4,0,88,82,6,1,8,0,0,226,235
445,19A,1,RESISTENCIA,0,1,1,8,5,3,29,1,2,1,84,58,1,14,0,0,0,192,206
446,19A,1,RESISTENCIA,0,1,1,4,5,1,25,3,1,3,86,51,0,12,1,0,0,179,192
447,19A,1,RESISTENCIA,0,1,1,4,4,2,27,2,0,0,62,75,2,13,0,0,0,178,191
448,19A,1,RESISTENCIA,0,1,1,4,6,4,13,2,0,4,79,70,1,15,0,0,8,183,206
