mesa,circuito,municipio,municipio_nombre,femenina,electronica,cargada,P33,P41,P60,P71,P176,P179,P180,P191,P652.1,P652.2,P652.3,P652.4,P652.5,P652.6,P652.7,P652.8,P652.9,P652.10,P652.11,P653.1,P653.2,P653.3,P654,nulos,recurridos,blanco,impugnados,validos,totales,P652,P653
1392,16A,1,RESISTENCIA,1,0,1,3,4,3,17,1,2,3,3,1,1,2,0,2,1,4,0,1,2,51,74,5,6,3,10,0,2,0,187,202,65,85
1393,16A,1,RESISTENCIA,1,0,1,5,4,0,17,2,1,5,4,1,2,12,1,4,2,1,0,3,2,35,59,4,1,5,9,0,0,0,166,180,63,64
1394,16A,1,RESISTENCIA,1,0,1,2,4,1,17,0,2,4,3,0,3,8,2,5,2,3,0,3,2,42,65,7,6,9,6,0,3,0,182,200,70,78
1395,16A,1,RESISTENCIA,1,0,1,6,5,1,18,1,1,1,5,1,3,8,1,4,5,2,0,3,1,36,72,1,0,6,2,0,7,0,176,191,64,73
1396,16A,1,RESISTENCIA,1,0,1,3,3,0,18,0,4,0,3,2,3,7,1,2,0,0,0,1,1,51,73,6,1,8,2,1,0,0,180,191,68,80
1397,16A,1,RESISTENCIA,1,0,1,4,4,1,18,1,0,2,2,1,3,4,0,5,0,4,0,2,3,54,77,5,3,5,3,0,2,0,194,204,76,85
1398,16A,1,RESISTENCIA,1,0,1,6,4,1,15,1,0,2,3,2,7,5,1,4,1,0,0,3,1,43,66,5,1,8,5,0,4,1,172,189,67,72
1399,16A,1,RESISTENCIA,1,0,1,3,4,3,12,0,3,2,7,2,0,4,0,0,0,0,0,6,0,52,83,3,3,4,6,0,1,0,188,199,64,89
1400,16A,1,RESISTENCIA,1,0,1,8,3,0,9,3,2,7,4,2,3,3,0,3,0,3,0,2,3,53,65,5,3,4,4,0,3,0,182,193,72,73
1401,16A,1,RESISTENCIA,1,0,1,4,7,0,13,2,1,6,0,0,0,6,0,2,4,2,0,2,4,66,56,3,6,4,11,0,0,0,185,200,86,65
1402,16A,1,RESISTENCIA,1,0,1,4,8,4,8,1,1,2,2,1,0,9,2,2,0,5,0,3,2,54,78,2,0,2,8,0,6,0,189,205,78,80
1403,16A,1,RESISTENCIA,1,0,1,4,4,4,16,1,0,2,7,1,2,4,0,3,0,3,0,5,1,40,74,4,3,0,0,0,7,0,179,186,59,81
1404,16A,1,RESISTENCIA,1,0,1,6,5,1,9,1,5,2,5,3,2,4,0,2,2,1,0,1,3,62,63,2,2,1,3,0,2,0,182,188,80,67
1405,16A,1,RESISTENCIA,1,0,1,4,0,5,28,1,3,2,6,0,3,6,0,4,1,1,0,3,3,51,51,3,2,6,4,0,1,0,178,189,72,56
1406,16A,1,RESISTENCIA,1,0,1,4,5,2,14,0,1,7,1,1,1,3,1,6,3,4,0,3,0,46,66,7,2,1,6,0,5,0,178,190,68,75
1407,16A,1,RESISTENCIA,1,0,1,7,3,3,15,0,2,1,3,0,2,2,0,4,2,7,0,0,1,58,57,8,1,5,3,0,1,0,177,186,76,66
1408,16A,1,RESISTENCIA,1,0,1,4,8,2,19,1,3,3,2,0,0,7,1,2,1,1,0,4,2,37,72,4,5,7,2,0,3,0,179,191,55,81
1409,16A,1,RESISTENCIA,1,0,1,11,2,0,18,2,2,3,7,1,2,7,0,3,1,1,0,2,1,54,45,1,2,8,7,0,3,0,166,184,72,48
1410,16A,1,RESISTENCIA,1,0,1,2,7,1,15,2,2,2,0,3,1,4,0,3,2,1,0,0,0,50,90,0,3,2,7,0,3,0,189,201,64,93
1411,16A,1,RESISTENCIA,1,0,1,3,5,1,12,0,2,1,2,4,4,6,0,4,4,4,0,1,1,45,64,3,1,5,6,0,6,0,168,185,73,68
1412,16A,1,RESISTENCIA,1,0,1,4,4,0,12,3,1,3,3,1,4,4,0,5,2,2,0,2,1,42,85,8,4,0,2,0,2,0,191,195,63,97
1413,16A,1,RESISTENCIA,1,0,1,3,8,0,18,2,3,3,4,2,3,3,2,2,2,2,0,1,0,89,59,6,3,4,11,0,2,0,216,233,106,68
1414,16A,1,RESISTENCIA,1,0,1,9,8,1,18,2,1,3,0,3,4,1,0,5,3,1,0,3,3,59,72,4,2,3,6,0,4,0,203,216,82,78
1415,16A,1,RESISTENCIA,1,0,1,7,6,2,14,0,2,7,4,1,6,3,1,2,1,5,0,3,0,41,78,6,3,3,10,0,5,0,193,211,63,87
1416,16A,1,RESISTENCIA,1,0,1,1,4,0,7,1,3,1,2,3,1,1,0,2,1,2,0,2,0,29,29,0,1,3,2,0,2,0,91,98,41,30
1417,16B,1,RESISTENCIA,1,0,1,3,10,1,24,0,0,2,3,1,2,5,1,2,1,1,0,3,5,53,61,4,2,4,8,0,1,0,185,198,74,67
1418,16B,1,RESISTENCIA,1,0,1,1,7,1,17,0,2,2,2,0,10,7,0,1,0,2,0,3,3,57,73,4,5,1,5,0,0,0,198,204,83,82
1419,16B,1,RESISTENCIA,1,0,1,2,10,0,14,2,2,0,1,1,5,3,1,3,0,2,0,1,11,43,75,7,2,4,3,0,2,0,186,195,70,84
1420,16B,1,RESISTENCIA,1,0,1,1,7,1,17,3,3,3,3,6,1,5,0,9,2,6,0,0,2,47,63,3,1,4,5,0,3,0,184,196,78,67
1421,16B,1,RESISTENCIA,1,0,1,3,3,1,17,1,2,1,3,2,1,3,1,3,2,2,0,2,5,32,82,12,3,5,6,0,4,0,182,197,53,97
1422,16B,1,RESISTENCIA,1,0,1,3,6,1,18,2,1,3,5,1,4,7,0,0,0,3,0,5,4,34,79,4,1,5,8,0,1,0,182,196,58,84
1423,16B,1,RESISTENCIA,1,0,1,4,10,2,17,2,3,3,1,2,2,5,0,3,1,4,0,0,6,31,79,6,3,7,4,0,1,0,185,197,54,88
1424,16B,1,RESISTENCIA,1,0,1,6,8,0,23,2,2,2,3,3,5,4,0,2,0,2,0,4,0,37,81,2,4,1,4,0,2,0,191,198,57,87
1425,16B,1,RESISTENCIA,1,0,1,1,3,2,19,1,1,2,4,2,6,8,1,1,0,0,0,2,8,46,77,6,1,6,1,0,2,0,192,201,74,84
1426,16B,1,RESISTENCIA,1,0,1,2,4,1,14,4,2,2,2,1,2,6,3,1,1,1,0,5,3,48,91,8,3,1,7,0,2,0,205,215,71,102
1427,16B,1,RESISTENCIA,1,0,1,2,0,0,20,0,1,1,5,3,3,8,1,5,3,3,0,1,4,44,70,5,3,5,0,0,6,0,183,194,75,78
1428,16B,1,RESISTENCIA,1,0,1,2,4,1,14,4,2,2,2,1,2,6,3,1,1,1,0,5,3,48,91,8,3,1,7,0,2,0,205,215,71,102
1429,16B,1,RESISTENCIA,1,0,1,0,6,0,28,0,3,1,2,2,9,10,2,5,2,3,0,2,1,34,60,4,3,4,13,0,0,0,178,195,70,67
1430,16B,1,RESISTENCIA,1,0,1,2,12,2,15,3,1,0,4,4,4,4,2,7,3,5,0,1,0,36,70,4,1,4,4,0,1,0,181,190,66,75
1431,16B,1,RESISTENCIA,1,0,1,4,8,0,21,0,2,2,2,0,4,3,0,2,1,3,0,2,0,39,78,4,1,1,6,0,4,0,177,188,54,83
1432,16B,1,RESISTENCIA,1,0,1,5,6,0,25,1,1,1,4,0,4,9,1,1,2,4,0,5,0,32,74,8,2,5,10,0,0,0,186,201,58,84
1433,16B,1,RESISTENCIA,1,0,1,7,15,1,15,2,2,3,1,3,7,5,0,5,2,5,0,3,0,42,72,6,2,3,0,0,0,0,199,202,72,80
1434,16B,1,RESISTENCIA,1,0,1,1,6,0,16,3,1,0,5,6,4,7,2,5,2,2,0,3,0,38,74,3,2,3,12,0,1,0,181,197,69,79
1435,16B,1,RESISTENCIA,1,0,1,10,7,0,17,2,1,5,0,1,6,7,1,7,0,8,0,1,0,41,71,6,3,0,0,0,8,0,195,203,72,80
1436,16B,1,RESISTENCIA,1,0,1,3,4,1,16,1,4,1,3,1,1,7,2,5,2,0,0,3,0,50,77,5,3,2,4,0,3,0,190,199,71,85
1437,16B,1,RESISTENCIA,1,0,1,4,2,2,22,3,0,1,2,1,4,7,1,0,0,3,0,1,0,54,81,8,2,2,4,0,2,0,199,207,71,91
1438,16B,1,RESISTENCIA,1,0,1,1,11,1,22,1,2,4,4,2,2,6,0,3,1,5,0,2,42,0,82,2,3,3,8,0,1,0,197,209,63,87
1439,16B,1,RESISTENCIA,1,0,1,2,8,1,19,0,4,3,4,1,4,3,3,9,1,2,0,6,0,41,64,7,1,5,6,0,2,0,184,197,70,72
1440,16B,1,RESISTENCIA,1,0,1,7,5,1,13,1,1,3,1,2,3,7,0,6,2,3,0,3,0,34,79,4,3,2,7,0,1,0,179,189,60,86
1441,16B,1,RESISTENCIA,1,0,1,2,3,2,16,0,5,2,2,3,4,11,2,7,0,1,0,3,0,35,78,3,2,1,2,0,2,0,182,187,66,83
1442,16B,1,RESISTENCIA,1,0,1,2,4,0,19,3,1,0,5,1,0,3,2,4,1,3,0,6,0,40,94,3,1,0,9,0,2,0,193,204,60,98
1443,16B,1,RESISTENCIA,1,0,1,9,1,2,15,3,1,2,6,1,1,2,2,7,0,2,0,2,0,33,83,5,2,6,5,0,1,0,180,192,50,90
1444,16B,1,RESISTENCIA,1,0,1,6,4,2,19,1,0,3,5,2,2,5,3,8,4,0,0,3,0,59,75,10,4,0,1,0,4,0,216,221,86,89
1445,16B,1,RESISTENCIA,1,0,1,2,7,0,22,2,0,1,1,1,4,4,0,3,2,0,0,4,0,45,110,5,1,1,7,0,6,0,215,229,63,116
1446,16C,1,RESISTENCIA,1,1,1,2,6,4,7,2,1,2,3,2,2,9,5,3,4,4,1,2,8,35,52,4,6,4,0,0,10,0,165,179,75,62
1447,16C,1,RESISTENCIA,1,1,1,4,2,2,11,0,1,6,4,0,4,2,3,3,2,5,3,9,2,31,76,6,7,3,0,0,10,0,184,197,64,89
1448,16C,1,RESISTENCIA,1,1,1,2,5,2,17,2,4,4,4,2,2,3,0,2,2,3,4,3,5,37,64,8,10,1,0,0,11,0,186,198,63,82
1449,16C,1,RESISTENCIA,1,1,1,3,4,3,12,0,5,2,3,1,1,2,3,4,3,5,1,0,4,34,69,5,7,5,0,0,9,0,172,186,58,81
1450,16C,1,RESISTENCIA,1,1,1,6,2,2,17,3,4,5,4,1,2,2,3,4,2,3,0,4,4,21,69,5,4,2,0,0,11,0,168,181,46,78
1451,16C,1,RESISTENCIA,1,1,1,2,3,4,10,1,1,2,2,1,0,9,1,2,1,4,0,2,7,38,86,8,6,4,1,0,11,0,191,207,65,100
1452,16C,1,RESISTENCIA,1,1,1,1,6,1,16,2,6,2,4,1,3,2,1,4,1,4,1,6,3,25,64,1,8,3,0,0,19,0,163,185,51,73
1453,16C,1,RESISTENCIA,1,1,1,2,7,1,18,1,2,0,2,1,3,4,2,2,4,1,2,4,3,24,80,4,5,3,0,0,7,0,173,183,50,89
1454,16C,1,RESISTENCIA,1,1,1,4,6,1,19,4,3,1,2,2,5,5,1,3,7,3,1,0,1,25,69,8,7,2,0,0,9,0,178,189,53,84
1455,16C,1,RESISTENCIA,1,1,1,2,4,0,14,1,1,1,2,3,1,6,1,2,1,3,2,7,8,29,59,11,5,3,0,0,14,0,164,181,63,75
1456,16C,1,RESISTENCIA,1,1,1,2,4,5,17,2,2,1,2,2,0,3,1,2,3,7,3,1,8,29,66,6,5,1,1,0,11,0,172,185,59,77
1457,16C,1,RESISTENCIA,1,1,1,0,5,3,20,2,2,2,3,2,1,6,1,0,3,2,2,3,4,33,71,6,3,5,1,0,10,0,175,191,57,80
1458,16C,1,RESISTENCIA,1,1,1,2,4,4,14,0,0,0,4,1,3,7,2,6,2,9,2,4,4,37,46,7,7,0,5,0,16,0,166,187,77,60
1459,16C,1,RESISTENCIA,1,1,1,2,6,4,13,0,1,1,2,2,2,2,1,0,4,3,0,5,4,28,74,5,9,2,0,0,7,0,169,178,51,88
1460,16C,1,RESISTENCIA,1,1,1,3,5,2,10,2,3,1,5,1,2,5,2,5,3,5,2,1,2,21,57,8,6,3,1,0,14,0,152,170,49,71
1461,16C,1,RESISTENCIA,1,1,1,1,4,2,6,2,4,0,1,0,3,5,3,0,1,2,0,5,5,38,60,7,5,4,0,0,9,0,155,168,62,72
1462,16C,1,RESISTENCIA,1,1,1,2,5,1,10,2,2,2,3,0,2,5,0,1,2,4,0,7,1,36,65,5,5,1,0,0,2,0,161,164,58,75
1463,16C,1,RESISTENCIA,1,1,1,5,5,1,11,3,1,3,3,1,1,5,4,1,6,1,1,9,3,26,61,4,10,4,1,0,7,0,166,178,58,75
1464,16C,1,RESISTENCIA,1,1,1,2,6,1,16,0,4,4,1,2,4,3,2,5,3,4,0,5,3,26,65,2,4,3,0,0,11,0,163,177,57,71
1465,16C,1,RESISTENCIA,1,1,1,1,3,6,7,2,1,1,0,2,1,4,2,8,2,4,2,2,5,27,64,3,10,0,0,0,8,0,158,166,59,77
1466,16C,1,RESISTENCIA,1,1,1,1,10,5,18,2,6,5,1,0,3,3,1,4,6,6,3,5,1,25,59,6,3,2,2,0,8,0,174,186,57,68
1467,17,1,RESISTENCIA,1,1,1,3,6,0,11,1,0,0,5,4,0,3,0,7,2,3,0,2,3,31,51,5,5,3,3,0,13,0,143,162,55,61
1468,17,1,RESISTENCIA,1,1,1,3,4,1,9,0,3,2,0,4,2,1,1,1,1,5,1,2,1,28,93,4,16,3,3,0,9,0,183,198,47,113
1469,17,1,RESISTENCIA,1,1,1,4,7,1,7,1,3,2,3,4,3,3,3,3,3,3,2,1,6,26,78,9,7,1,1,0,9,0,180,191,57,94
1470,17,1,RESISTENCIA,1,1,1,5,8,2,10,2,4,3,5,8,0,2,3,2,2,2,1,2,2,20,86,4,4,2,0,0,8,0,178,188,44,94
1471,17,1,RESISTENCIA,1,1,1,3,7,0,8,0,1,2,2,5,2,0,1,0,2,7,2,3,6,27,80,7,4,2,0,0,8,0,170,180,55,91
1472,17,1,RESISTENCIA,1,1,1,2,4,1,12,1,2,1,4,5,2,5,3,1,3,6,4,1,2,30,77,3,11,4,1,0,15,0,181,201,62,91
1473,17,1,RESISTENCIA,1,1,1,2,7,0,13,0,1,0,1,1,2,2,1,2,1,1,2,0,2,18,43,5,2,0,0,0,9,0,107,116,32,50
1474,18,1,RESISTENCIA,1,0,1,6,5,0,12,0,3,2,6,7,3,11,0,12,0,3,0,5,5,47,62,4,1,3,6,0,2,0,195,206,93,67
1475,18,1,RESISTENCIA,1,0,1,2,6,0,10,0,4,3,6,1,4,17,0,7,3,2,0,1,5,46,45,3,2,2,5,0,3,0,168,178,86,50
1476,18,1,RESISTENCIA,1,0,1,1,12,2,12,1,9,1,4,6,1,10,1,2,0,2,0,6,3,40,55,3,3,4,3,0,1,0,175,183,71,61
1477,18,1,RESISTENCIA,1,0,1,4,4,2,8,0,8,0,1,10,4,14,1,9,1,1,0,7,2,48,62,1,0,8,4,0,2,0,188,202,97,63
1478,18,1,RESISTENCIA,1,0,1,1,5,3,14,0,1,2,3,5,3,10,3,0,1,0,0,1,4,47,62,7,0,5,7,0,4,0,173,189,74,69
1479,18,1,RESISTENCIA,1,0,1,1,6,1,13,2,3,2,4,1,2,9,2,5,3,2,0,3,5,50,53,2,3,2,3,0,2,0,173,180,82,58
1480,18,1,RESISTENCIA,1,0,1,1,11,0,9,1,4,0,2,7,3,13,0,9,0,5,0,2,2,42,53,2,3,2,3,0,0,0,170,175,83,58
1481,18,1,RESISTENCIA,1,0,1,1,7,0,11,0,8,3,0,4,3,9,1,7,1,2,0,3,4,53,50,2,1,2,6,0,3,0,171,182,87,53
1482,18,1,RESISTENCIA,1,0,1,4,8,1,11,0,1,1,4,8,3,3,2,7,0,2,0,2,9,38,55,4,3,3,10,0,5,0,167,185,74,62
1483,18,1,RESISTENCIA,1,0,1,3,12,0,10,0,5,2,4,8,5,8,0,6,1,3,0,9,7,38,46,0,1,3,2,9,0,0,169,183,85,47
1484,18,1,RESISTENCIA,1,0,1,2,9,2,12,0,2,4,2,1,1,7,3,3,1,1,0,6,2,37,67,0,2,3,3,0,5,0,165,176,62,69
1485,18,1,RESISTENCIA,1,0,1,0,9,0,12,1,2,0,4,8,3,13,0,3,1,2,0,7,0,48,50,5,6,6,0,0,0,0,175,181,85,61
1486,18,1,RESISTENCIA,1,0,1,4,9,0,9,0,1,2,1,0,2,0,7,3,3,10,0,2,0,58,54,3,5,7,9,0,1,0,174,191,85,62
1487,18,1,RESISTENCIA,1,0,1,2,9,1,11,1,2,1,4,2,1,6,4,3,4,5,0,2,7,35,63,1,5,4,5,0,1,0,170,180,69,69
1488,18,1,RESISTENCIA,1,0,1,2,2,0,8,3,1,2,0,6,1,3,4,4,2,4,0,3,2,40,56,6,2,1,0,3,4,0,152,160,69,64
1489,18,1,RESISTENCIA,1,0,1,4,4,1,13,0,3,3,1,2,1,19,0,5,2,1,0,5,2,47,62,4,2,5,5,0,1,0,182,193,84,68
1490,18,1,RESISTENCIA,1,0,1,2,10,2,13,0,3,0,3,9,4,12,0,10,2,1,0,2,0,42,53,5,1,2,5,0,2,0,175,184,82,59
1491,18,1,RESISTENCIA,1,0,1,1,8,1,18,0,2,5,6,6,2,8,0,4,2,2,0,1,0,55,58,5,6,3,8,0,1,0,191,203,80,69
1492,19A,1,RESISTENCIA,1,1,1,4,4,2,13,1,2,3,3,3,3,13,3,2,4,14,3,3,3,35,52,3,8,4,0,0,12,0,182,198,86,63
1493,19A,1,RESISTENCIA,1,1,1,2,6,1,10,3,0,3,3,4,3,7,3,4,3,8,1,3,7,22,63,5,2,0,1,2,13,2,164,180,65,70
1494,19A,1,RESISTENCIA,1,1,1,5,5,0,21,2,2,0,3,0,5,10,1,2,3,11,3,1,1,23,58,8,6,2,0,0,10,0,171,183,60,72
1495,19A,1,RESISTENCIA,1,1,1,4,1,0,13,5,3,2,1,1,6,5,4,3,3,8,0,6,4,40,50,5,6,2,0,0,10,0,171,183,80,61
1496,19A,1,RESISTENCIA,1,1,1,0,6,1,5,2,2,1,2,0,2,15,3,2,3,13,4,5,2,28,50,2,11,1,0,0,10,0,160,171,77,63
1497,19A,1,RESISTENCIA,1,1,1,3,5,0,8,1,4,0,3,1,3,10,4,1,3,12,4,5,4,36,62,5,6,3,0,2,8,0,181,194,83,73
1498,19A,1,RESISTENCIA,1,1,1,3,4,4,17,4,2,2,2,4,4,6,5,2,3,8,3,4,3,27,39,6,6,3,0,3,16,0,159,181,69,51
1499,19A,1,RESISTENCIA,1,1,1,1,5,2,16,1,6,2,1,1,0,11,2,2,4,17,5,4,4,30,60,5,4,1,0,0,8,0,184,193,80,69
1500,19A,1,RESISTENCIA,1,1,1,2,3,1,15,1,2,2,2,1,2,4,4,3,3,8,3,2,3,28,67,7,9,2,1,0,13,0,173,189,61,83
1501,19A,1,RESISTENCIA,1,1,1,4,5,1,15,2,4,2,1,3,4,4,4,3,6,7,5,5,2,27,67,4,2,3,0,0,19,0,178,200,70,73
1502,19A,1,RESISTENCIA,1,1,1,2,6,1,13,1,3,0,4,2,2,5,4,5,3,11,5,6,3,29,64,4,5,0,2,0,8,0,179,189,75,73
1503,19A,1,RESISTENCIA,1,1,1,0,5,1,6,1,1,1,2,3,3,9,2,2,2,8,0,1,4,25,45,1,8,2,2,0,9,0,131,144,59,54
1504,19B,1,RESISTENCIA,1,0,1,3,16,3,10,3,2,4,0,2,4,8,0,3,0,5,0,5,6,46,45,3,4,1,7,0,8,0,173,189,79,52
1505,19B,1,RESISTENCIA,1,0,1,3,5,2,10,0,2,3,3,2,7,6,1,1,1,2,0,3,3,48,55,4,2,6,11,0,4,2,164,185,74,61
1506,19B,1,RESISTENCIA,1,0,1,2,12,1,12,3,2,2,2,3,2,4,1,2,3,4,0,4,3,43,65,5,2,6,7,0,4,1,178,195,69,72
1507,19B,1,RESISTENCIA,1,0,1,2,12,0,10,0,1,2,2,3,5,6,0,2,1,3,0,2,2,39,80,5,3,2,11,0,2,0,181,196,63,88
1508,19B,1,RESISTENCIA,1,0,1,5,13,2,17,2,0,2,0,3,4,7,2,6,0,3,0,7,7,38,63,5,1,2,6,0,1,0,188,197,77,69
1509,19B,1,RESISTENCIA,1,0,1,1,7,1,10,4,0,2,2,3,9,7,0,8,0,3,0,3,3,35,72,5,4,3,7,0,3,0,180,193,71,81
1510,19B,1,RESISTENCIA,1,0,1,2,7,1,16,3,5,3,3,1,10,9,0,5,6,2,0,3,5,37,62,10,2,2,2,0,2,0,193,199,78,74
1511,19B,1,RESISTENCIA,1,0,1,2,10,1,5,1,0,2,4,0,7,8,0,5,1,4,0,4,4,78,62,9,7,4,5,0,2,0,215,226,111,78
1512,19B,1,RESISTENCIA,1,0,1,1,7,1,13,0,2,3,5,0,4,5,0,6,1,4,0,8,3,41,51,5,3,2,2,0,2,0,164,170,72,59
1513,19B,1,RESISTENCIA,1,0,1,3,10,10,11,0,1,1,2,3,0,2,0,11,0,3,0,5,2,39,57,5,0,1,5,0,4,0,166,176,65,62
1514,19B,1,RESISTENCIA,1,0,1,1,13,3,12,1,4,2,4,1,5,5,0,5,1,6,0,6,2,59,79,11,6,2,1,0,2,0,227,232,90,96
1515,20,1,RESISTENCIA,1,0,1,8,12,0,8,0,7,2,2,0,1,2,1,2,5,5,0,2,0,45,111,8,9,0,6,0,2,0,231,239,63,128
1516,20,1,RESISTENCIA,1,0,1,6,16,0,8,2,4,0,4,1,1,3,1,6,1,4,0,4,0,51,91,13,2,2,6,0,2,0,219,229,72,106
1517,21,1,RESISTENCIA,1,0,1,3,12,1,4,0,0,3,1,4,6,9,0,3,4,3,0,1,0,45,30,2,2,8,4,12,8,0,134,166,75,34
1518,21,1,RESISTENCIA,1,0,1,2,6,1,13,1,0,1,0,5,6,10,1,4,1,3,0,1,0,45,48,3,0,5,0,0,0,0,152,157,76,51
1519,21,1,RESISTENCIA,1,0,1,1,7,0,14,4,1,1,3,2,2,9,0,4,4,2,0,0,0,62,35,2,2,4,0,0,8,0,156,168,85,39
1520,21,1,RESISTENCIA,1,0,1,4,1,2,13,0,3,0,4,2,3,6,3,4,2,3,0,1,0,45,59,3,3,5,4,0,2,0,162,173,69,65
1521,21,1,RESISTENCIA,1,0,1,1,3,1,10,0,0,1,2,0,5,6,0,4,6,4,0,2,0,66,49,3,2,4,0,0,7,0,166,177,93,54
1522,21,1,RESISTENCIA,1,0,1,1,13,0,14,0,2,1,1,2,8,2,2,4,2,3,0,4,0,42,0,50,4,9,5,1,3,1,156,174,69,54
1523,21,1,RESISTENCIA,1,0,1,2,7,1,13,2,1,1,0,3,4,12,0,3,2,5,0,3,0,53,36,6,3,2,5,0,0,0,158,165,85,45
1524,21,1,RESISTENCIA,1,0,1,2,1,3,13,0,2,0,3,6,1,3,2,4,0,2,0,4,1,49,60,3,1,2,5,0,1,0,161,169,72,64
1525,21,1,RESISTENCIA,1,0,1,2,9,0,6,1,2,0,1,2,11,5,0,6,2,0,0,2,0,66,38,2,4,5,0,0,0,0,160,165,94,44
1526,21,1,RESISTENCIA,1,0,1,0,8,1,9,1,0,2,0,5,5,11,0,7,0,2,0,4,0,47,47,1,1,4,7,0,1,0,152,164,81,49
1527,21,1,RESISTENCIA,1,0,1,1,7,0,8,1,3,0,1,2,6,7,0,14,1,2,0,3,0,48,60,3,2,2,0,0,0,0,170,172,83,65
1528,21,1,RESISTENCIA,1,0,1,1,8,0,9,2,4,2,3,10,4,5,1,4,1,5,0,5,0,40,49,1,6,3,5,0,3,0,161,172,75,56
1529,21,1,RESISTENCIA,1,0,1,1,5,1,11,0,1,1,2,3,5,4,1,4,4,1,0,8,0,60,58,5,3,6,4,0,1,0,179,190,90,66
1530,21,1,RESISTENCIA,1,0,1,2,10,3,6,1,2,2,2,2,6,9,0,7,2,3,0,2,0,69,46,3,5,2,8,0,5,0,183,198,100,54
1579,24,1,RESISTENCIA,1,0,1,0,0,0,3,0,0,0,0,0,1,3,0,5,0,1,0,1,0,67,46,1,1,0,1,0,0,6,130,131,78,48
1580,25,1,RESISTENCIA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,5,5,2,2
1588,27,1,RESISTENCIA,1,0,1,0,4,3,0,0,1,0,54,0,1,2,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,70,71,6,1
159,9,2,BARRANQUERAS,0,0,1,1,9,4,11,2,0,4,4,4,1,15,0,4,0,2,0,4,0,44,49,7,4,7,7,0,2,0,170,186,74,60
160,9,2,BARRANQUERAS,0,0,1,1,6,7,15,2,6,0,3,3,10,8,1,4,4,3,0,8,0,52,44,5,3,9,3,0,4,0,186,202,93,52
161,9,2,BARRANQUERAS,0,0,1,4,7,9,10,0,1,1,4,3,1,23,2,0,2,1,0,3,0,38,38,6,2,5,7,0,2,0,156,170,73,46
162,9,2,BARRANQUERAS,0,0,1,1,6,3,11,0,0,3,1,2,1,17,3,5,0,0,0,9,0,48,38,5,2,3,13,0,3,0,156,175,85,45
163,9,2,BARRANQUERAS,0,0,1,1,2,8,15,2,0,1,2,3,1,6,0,3,2,3,0,5,0,46,44,3,1,8,12,0,5,0,149,174,69,48
164,9,2,BARRANQUERAS,0,0,1,2,4,2,9,1,4,0,2,4,10,12,5,6,1,3,0,4,0,46,45,2,4,4,5,0,5,0,167,181,91,51
165,9,2,BARRANQUERAS,0,0,1,1,7,4,19,0,0,1,2,4,6,18,1,9,7,1,0,11,0,37,31,6,2,3,0,0,5,0,168,176,94,39
166,9,2,BARRANQUERAS,0,0,1,4,4,3,13,3,2,2,6,1,4,14,0,3,0,3,0,2,0,60,39,2,2,5,0,0,0,0,168,173,87,43
167,9,2,BARRANQUERAS,0,0,1,9,10,3,9,1,1,0,5,7,7,20,1,4,0,1,0,4,0,35,41,4,3,4,1,0,6,0,166,177,79,48
168,9,2,BARRANQUERAS,0,0,1,0,9,4,16,1,2,0,6,1,18,15,0,2,1,0,0,13,0,30,47,0,9,2,4,0,11,0,175,192,80,56
169,9,2,BARRANQUERAS,0,0,1,3,6,6,11,2,1,1,0,45,4,5,0,2,8,12,2,0,42,0,6,1,4,0,12,0,5,0,162,179,120,11
170,9,2,BARRANQUERAS,0,0,1,2,4,4,13,1,0,2,4,1,1,13,2,4,0,1,0,11,0,48,40,3,1,4,6,0,5,0,156,171,81,44
171,9,2,BARRANQUERAS,0,0,1,0,7,3,11,1,2,4,3,6,11,14,2,9,2,1,0,11,0,26,43,1,2,6,0,0,13,0,160,179,82,46
172,9,2,BARRANQUERAS,0,0,1,1,11,7,11,2,1,0,3,6,6,18,1,6,2,3,0,3,0,46,43,2,2,5,0,0,12,0,175,192,91,47
173,9,2,BARRANQUERAS,0,0,1,2,8,5,9,1,2,0,4,6,0,23,2,2,2,2,0,0,0,36,67,5,2,4,12,0,6,0,179,201,73,74
174,10,2,BARRANQUERAS,0,1,1,5,10,2,19,0,3,4,1,1,0,7,2,5,2,4,4,7,6,33,41,4,3,4,2,0,16,0,164,186,71,48
175,10,2,BARRANQUERAS,0,1,1,2,10,2,16,2,3,3,3,4,4,6,2,3,1,5,3,6,10,39,51,4,6,1,0,0,13,0,186,200,83,61
176,10,2,BARRANQUERAS,0,1,1,1,7,13,22,1,1,0,5,1,2,2,2,3,1,4,0,9,6,34,54,4,6,2,0,0,15,0,179,196,64,64
177,10,2,BARRANQUERAS,0,1,1,2,5,6,18,2,3,2,2,2,3,6,4,5,4,8,2,1,4,36,41,4,5,1,0,0,12,0,166,179,75,50
178,10,2,BARRANQUERAS,0,1,1,4,4,6,19,2,1,7,3,2,2,6,4,3,4,5,2,5,6,24,49,1,5,3,2,0,14,0,165,184,63,55
179,10,2,BARRANQUERAS,0,1,1,5,6,11,15,3,2,0,3,2,6,6,2,2,3,6,1,7,5,28,45,3,5,3,0,0,12,0,167,182,68,53
