mesa,circuito,municipio,municipio_nombre,femenina,electronica,cargada,P33,P41,P60,P71,P176,P179,P180,P191,P652.1,P652.2,P652.3,P652.4,P652.5,P652.6,P652.7,P652.8,P652.9,P652.10,P652.11,P653.1,P653.2,P653.3,P654,nulos,recurridos,blanco,impugnados,validos,totales,P652,P653
415,16C,1,RESISTENCIA,0,1,1,5,8,0,21,2,4,4,5,1,3,4,1,2,1,2,2,2,6,17,61,8,5,3,1,1,6,0,165,176,41,74
416,16C,1,RESISTENCIA,0,1,1,4,2,2,17,0,4,1,2,0,5,7,0,5,4,9,4,8,7,31,50,6,5,1,0,0,7,0,174,182,80,61
417,16C,1,RESISTENCIA,0,1,1,4,6,4,17,4,5,1,4,2,4,3,2,1,2,6,0,7,3,30,72,5,3,1,0,0,4,0,186,191,60,80
418,16C,1,RESISTENCIA,0,1,1,5,4,1,15,1,4,2,4,0,6,3,3,3,4,2,1,7,6,22,65,6,4,0,2,0,7,0,169,178,57,75
419,16C,1,RESISTENCIA,0,1,1,0,7,2,21,0,1,1,0,0,2,4,1,3,4,1,2,7,4,34,63,3,6,3,0,8,13,0,167,191,62,72
420,16C,1,RESISTENCIA,0,1,1,3,3,0,12,3,3,2,6,0,1,0,3,0,2,1,0,0,1,18,42,2,4,2,1,0,11,0,107,121,26,48
421,17,1,RESISTENCIA,0,1,1,7,4,3,13,0,1,4,1,4,3,6,0,5,3,6,3,4,1,32,58,4,3,4,1,1,14,0,166,186,67,65
422,17,1,RESISTENCIA,0,1,1,2,3,2,19,2,2,2,6,1,3,5,0,3,1,3,4,3,2,22,75,7,5,0,0,0,13,0,173,186,47,87
423,17,1,RESISTENCIA,0,1,1,1,5,3,12,2,3,1,4,4,2,4,4,3,2,1,3,2,3,29,70,4,4,0,0,1,12,0,167,180,57,78
424,17,1,RESISTENCIA,0,1,1,3,8,3,9,1,1,2,4,6,1,5,1,2,0,2,2,2,5,20,82,10,5,1,0,0,11,0,175,187,46,97
425,17,1,RESISTENCIA,0,1,1,2,12,2,17,1,1,0,4,5,2,6,3,1,5,5,1,4,4,23,57,5,9,2,0,0,7,0,170,179,59,71
426,17,1,RESISTENCIA,0,1,1,3,2,3,9,1,6,0,5,7,3,2,2,4,1,0,3,3,11,33,66,5,9,5,0,1,11,0,179,196,69,80
427,17,1,RESISTENCIA,0,1,1,0,5,1,8,1,1,2,2,1,1,1,1,0,1,1,1,1,1,6,39,6,3,1,0,0,5,0,84,90,15,48
428,18,1,RESISTENCIA,0,0,1,2,5,1,10,0,0,4,5,2,4,7,4,2,3,2,0,6,0,46,39,7,3,3,3,0,4,0,153,163,76,49
429,18,1,RESISTENCIA,0,0,1,2,5,1,21,0,0,4,5,5,1,14,1,7,0,3,0,1,0,49,40,4,0,5,3,0,5,0,164,177,81,44
430,18,1,RESISTENCIA,0,0,1,2,10,1,17,0,3,3,4,9,2,7,2,15,3,4,0,5,0,3,46,4,4,5,4,0,5,0,145,159,50,54
431,18,1,RESISTENCIA,0,0,1,4,7,0,11,0,4,0,9,6,1,5,2,7,2,0,0,9,0,30,43,6,6,3,5,0,3,0,153,164,62,55
432,18,1,RESISTENCIA,0,0,1,1,4,3,19,0,1,1,1,2,0,15,0,11,0,2,0,1,0,33,47,7,2,1,6,13,0,0,151,171,64,56
433,18,1,RESISTENCIA,0,0,1,1,13,2,14,1,4,1,8,5,3,12,1,17,3,6,0,5,0,32,39,3,4,2,3,0,4,0,175,184,84,46
434,18,1,RESISTENCIA,0,0,1,2,5,2,17,1,6,4,2,7,3,15,4,13,0,3,0,2,0,33,43,5,0,2,2,0,4,0,168,176,80,48
435,18,1,RESISTENCIA,0,0,1,0,13,2,10,1,3,2,2,2,6,14,0,6,0,5,0,1,0,36,46,3,3,2,5,0,2,0,156,165,70,52
436,18,1,RESISTENCIA,0,0,1,2,13,2,15,1,2,1,3,3,1,7,0,1,1,1,0,4,0,25,41,2,2,5,5,0,2,0,128,140,43,45
